title,date,pos,neg,neu,index
Opinion: Biden is heading to the Middle East for one simple reason,2022-07-10,0,1,0,74.0
"July 9, 2022 Shinzo Abe assassination news",2022-07-08,0,0,1,75.0
Naftali Bennett Fast Facts,2021-06-30,0,1,0,76.0
"July 8, 2022 Shinzo Abe shot dead in Nara, Japan",2022-07-08,0,0,1,77.0
Israeli and Palestinian leaders speak by phone for the first time in years,2022-07-08,0,1,0,78.0
A leader for all Israelis? Yair Lapid takes over as caretaker prime minister,2022-07-01,0,1,0,79.0
"Israeli parliament votes to dissolve, triggering fifth election in four years",2022-06-30,0,1,0,80.0
"5 things to know for June 30: SCOTUS, School shootings, January 6, Ukraine, Israel",2022-06-30,0,1,0,81.0
Is there any way out of Israel's neverending election cycle?,2022-06-22,0,0,1,82.0
Israel set for possible fifth election in four years as PM Bennett moves to dissolve parliament,2022-06-20,0,0,1,83.0
"5 things to know for June 21: Gas prices, Ukraine, January 6, Israel, Covid-19",2022-06-21,0,1,0,84.0
How a failed vote on Jewish settlers shows the Israeli government is teetering,2022-06-10,0,1,0,85.0
Israeli government's fragility laid bare as violence spikes,2022-04-20,0,1,0,86.0
Israel's coalition government loses its majority as right-wing lawmaker quits,2022-04-06,0,0,1,87.0
Israel and the West Bank are on edge again. Here are five things you need to know,2022-04-01,0,1,0,88.0
Israel's police under fire amid further allegations of 'Pegasus' cybersurveillance use against public figures,2022-02-07,0,0,1,89.0
Israeli officials deny report that police are using cellphone spying software on citizens without court approval,2022-01-20,0,1,0,90.0
"Netanyahu negotiating possible corruption case plea deal to safeguard political career, sources say",2022-01-18,0,1,0,91.0
"Israel announces plan to double Golan Heights population, drawing condemnation from Syria",2021-12-28,0,0,1,92.0
Trump uses anti-Semitic tropes to again criticize Jewish Americans,2021-12-17,0,1,0,93.0
Trump accuses Netanyahu of disloyalty for congratulating Biden after 2020 win: 'F**k him',2021-12-10,0,0,1,94.0
A single sentence that perfectly captures the utter madness of the Trump era,2021-12-10,0,0,1,95.0
Don't count on an end to the Joe Biden-Naftali Bennett honeymoon -- yet,2021-11-08,0,1,0,96.0
"Israel doubles down against US, saying there is no room in Jerusalem for an American Consulate for Palestinians",2021-11-07,0,1,0,97.0
Trump's inner circle takes a trip down memory lane in Jerusalem,2021-10-12,0,0,1,98.0
"'Isolated' but defiant, Brazil's Bolsonaro defends handling of Covid and climate at UN",2021-09-21,0,1,0,99.0
